 Source IP,Inbound, Destination IP, Source Port, Destination Port, Protocol, Timestamp, Flow Duration,Flow Bytes/s, Flow Packets/s,Fwd Packets/s, Bwd Packets/s, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Max Packet Length, Min Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, Fwd Header Length.1, Fwd Header Length, Bwd Header Length, min_seg_size_forward, act_data_pkt_fwd, Flow IAT Mean, Flow IAT Max, Flow IAT Min, Flow IAT Std,Fwd IAT Total, Fwd IAT Max, Fwd IAT Min, Fwd IAT Mean, Fwd IAT Std,Bwd IAT Total, Bwd IAT Max, Bwd IAT Min, Bwd IAT Mean, Bwd IAT Std,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size,Init_Win_bytes_forward, Init_Win_bytes_backward, Active Max, Active Min,Active Mean, Active Std, Idle Max, Idle Min,Idle Mean, Idle Std,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk,Bwd Avg Bulk Rate, Bwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Avg Fwd Segment Size, Avg Bwd Segment Size, CWE Flag Count,Subflow Fwd Packets, Subflow Bwd Packets, Subflow Fwd Bytes, Subflow Bwd Bytes,Label
192.168.1.131,0,239.255.255.250,61168,1900,17,22/04/2024 22:00,120073474,50.06934338,0.299816427,0.299816427,0,36,0,6012,0,167,167,167,0,0,0,0,0,167,167,167,0,0,288,288,0,8,36,3430670.686,9836114,91977,4602712.37,120073474,9836114,91977,3430670.686,4602712.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,9734050,1209,8882199.75,2678114.561,9733496,8403,7761225.667,3861049.856,0,0,0,0,0,0,167,0,0,36,0,6012,0,BENIGN
192.168.1.106,0,224.0.0.251,5353,5353,17,22/04/2024 22:00,90055049,83.7487746,0.288712296,0.288712296,0,26,0,7542,0,563,183,290.0769231,120.6230374,0,0,0,0,563,183,290.0769231,120.6230374,14549.91716,208,208,0,8,26,3602201.96,55529310,1,11390095.63,90055049,55529310,1,3602201.96,11390095.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.0769231,0,0,55427308,4,11196141.71,19472796.62,55221806,99801,7385629.727,16295823.18,0,0,0,0,0,0,290.0769231,0,0,26,0,7542,0,BENIGN
192.168.1.131,0,224.0.0.251,5353,5353,17,22/04/2024 22:00,94050680,8.761233837,0.085060523,0.085060523,0,8,0,824,0,103,103,103,0,0,0,0,0,103,103,103,0,0,64,64,0,8,8,13435811.43,30018829,921803,14360997.06,94050680,30018829,921803,13435811.43,14360997.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,28994805,28993600,28994202.5,602.5,29097026,921803,22001587.25,12170492.14,0,0,0,0,0,0,103,0,0,8,0,824,0,BENIGN
192.168.1.125,0,224.0.0.251,5353,5353,17,22/04/2024 22:00,94051155,70.40849206,0.180752698,0.180752698,0,17,0,6622,0,415,102,389.5294118,72.24966326,0,0,0,0,415,102,389.5294118,72.24966326,5220.013841,136,136,0,8,17,5878197.188,30020023,0,11458868.86,94051155,30020023,0,5878197.188,11458868.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.5294118,0,0,28996833,28174277,28585555,411278,29098022,102427,17437889.8,13826790.13,0,0,0,0,0,0,389.5294118,0,0,17,0,6622,0,BENIGN
192.168.1.1,0,239.255.255.250,38568,1900,17,22/04/2024 22:00,120176852,58.85492824,0.15810033,0.15810033,0,19,0,7073,0,409,329,372.2631579,30.28781604,0,0,0,0,409,329,372.2631579,30.28781604,917.3518006,152,152,0,8,19,6676491.778,119764537,0,27427953.23,120176852,119764537,0,6676491.778,27427953.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.2631579,0,0,119761648,1336,59881492,59880156,119560723,199658,39987619.67,56266680.98,1604.333333,4.666666667,0,0,2785300.926,0,372.2631579,0,0,19,0,7073,0,BENIGN
192.168.1.125,0,239.255.255.250,41977,1900,17,22/04/2024 21:59,717025,5492.137652,16.73581814,16.73581814,0,12,0,3938,0,356,279,328.1666667,31.31781531,0,0,0,0,356,279,328.1666667,31.31781531,980.8055556,96,96,0,8,12,65184.09091,204794,0,65836.13081,717025,204794,0,65184.09091,65836.13081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.1666667,0,0,0,0,0,0,102326,102054,102190,136,0,0,0,0,0,0,328.1666667,0,0,12,0,3938,0,BENIGN
